Iso-2,Continent,Country,Breach No. 22'Q1,Breach No. 21'Q4,Average,Percentage change
RU,Europe,Russia,3551385,3190494,3370939.5,11%
UNKNOWN,#N/A,#N/A,2758142,15381650,9069896,-82%
US,North America,U.S.,2493712,4680988,3587350,-47%
PL,Europe,Poland,961026,156550,558788,514%
FR,Europe,France,721171,607157,664164,19%
IN,Asia,India,674847,1769121,1221984,-62%
TR,Asia,Turkey,486602,366125,426363.5,33%
AU,Oceania,Australia,430303,230276,330289.5,87%
ID,Asia,Indonesia,429861,539848,484854.5,-20%
HM,Oceania,Heard and McDonald Islands,402941,2014768,1208854.5,-80%
HK,Asia,Hong Kong,310812,29727,170269.5,946%
DE,Europe,Germany,305969,388400,347184.5,-21%
GB,Europe,U.K.,295661,420031,357846,-30%
BR,South America,Brazil,285062,1446863,865962.5,-80%
CN,Asia,China,284062,411135,347598.5,-31%
PH,Asia,Philippines,244779,386337,315558,-37%
UA,Europe,Ukraine,207504,633723,420613.5,-67%
ES,Europe,Spain,187060,622357,404708.5,-70%
CZ,Europe,Czechia,186899,157473,172186,19%
TW,Asia,Taiwan,178717,45278,111997.5,295%
CA,North America,Canada,175006,466604,320805,-62%
KR,Asia,South Korea,166150,2138443,1152296.5,-92%
TH,Asia,Thailand,137507,69298,103402.5,98%
IT,Europe,Italy,135325,223786,179555.5,-40%
NL,Europe,Netherlands,107109,153346,130227.5,-30%
JP,Asia,Japan,101141,282073,191607,-64%
IR,Asia,Iran,97647,340977,219312,-71%
MY,Asia,Malaysia,78393,153172,115782.5,-49%
HU,Europe,Hungary,60667,38317,49492,58%
SA,Asia,Saudi Arabia,55012,103062,79037,-47%
FM,Oceania,Micronesia,54840,97008,75924,-43%
PK,Asia,Pakistan,53947,222272,138109.5,-76%
VN,Asia,Vietnam,51869,370251,211060,-86%
EG,Africa,Egypt,49054,82628,65841,-41%
BY,Europe,Belarus,46969,80581,63775,-42%
RO,Europe,Romania,46808,108710,77759,-57%
MM,Asia,Myanmar,44624,183815,114219.5,-76%
SS,Africa,South Sudan,44159,85591,64875,-48%
VE,South America,Venezuela,43308,60228,51768,-28%
ZA,Africa,South Africa,39881,116863,78372,-66%
ME,Europe,Montenegro,39041,69414,54227.5,-44%
MX,North America,Mexico,38662,69992,54327,-45%
CO,South America,Colombia,37660,128638,83149,-71%
SE,Europe,Sweden,35730,42317,39023.5,-16%
AR,South America,Argentina,33302,70140,51721,-53%
AE,Asia,U.A.E.,30921,92461,61691,-67%
CH,Europe,Switzerland,28844,80554,54699,-64%
PT,Europe,Portugal,28099,66465,47282,-58%
AF,Asia,Afghanistan,26802,112327,69564.5,-76%
KZ,Asia,Kazakhstan,25288,4440,14864,470%
PE,South America,Peru,23624,80637,52130.5,-71%
BE,Europe,Belgium,23256,39826,31541,-42%
BG,Europe,Bulgaria,22307,19149,20728,16%
IQ,Asia,Iraq,21954,31992,26973,-31%
IL,Asia,Israel,21587,533972,277779.5,-96%
GR,Europe,Greece,21238,97587,59412.5,-78%
GG,Europe,Guernsey,20824,800,10812,2503%
AT,Europe,Austria,20608,33769,27188.5,-39%
NG,Africa,Nigeria,20489,50531,35510,-59%
SG,Asia,Singapore,20008,78346,49177,-74%
DO,North America,Dominican Republic,18316,6324,12320,190%
AZ,Asia,Azerbaijan,17603,27149,22376,-35%
BD,Asia,Bangladesh,17103,31208,24155.5,-45%
LK,Asia,Sri Lanka,16661,196574,106617.5,-92%
DZ,Africa,Algeria,16539,20505,18522,-19%
CC,Oceania,Cocos Islands,15559,98180,56869.5,-84%
FI,Europe,Finland,15121,13420,14270.5,13%
NO,Europe,Norway,14627,21400,18013.5,-32%
QA,Asia,Qatar,14591,34898,24744.5,-58%
CL,South America,Chile,13706,687687,350696.5,-98%
MD,Europe,Moldova,13490,5479,9484.5,146%
IE,Europe,Ireland,13232,21071,17151.5,-37%
AL,Europe,Albania,12910,9268,11089,39%
GE,Asia,Georgia,12766,29833,21299.5,-57%
DK,Europe,Denmark,12641,44183,28412,-71%
NZ,Oceania,New Zealand,12010,92872,52441,-87%
TV,Oceania,Tuvalu,11773,25737,18755,-54%
MA,Africa,Morocco,11688,28176,19932,-59%
LV,Europe,Latvia,10279,13242,11760.5,-22%
EC,South America,Ecuador,10063,8117,9090,24%
JO,Asia,Jordan,9817,31612,20714.5,-69%
UZ,Asia,Uzbekistan,9678,32498,21088,-70%
SY,Asia,Syria,9584,24723,17153.5,-61%
UY,South America,Uruguay,9569,8251,8910,16%
KW,Asia,Kuwait,9238,39960,24599,-77%
RS,Europe,Serbia,8549,8998,8773.5,-5%
CR,North America,Costa Rica,8352,13719,11035.5,-39%
LB,Asia,Lebanon,8326,27383,17854.5,-70%
MN,Asia,Mongolia,7885,19193,13539,-59%
CU,North America,Cuba,7824,7603,7713.5,3%
BH,Asia,Bahrain,7535,31372,19453.5,-76%
KG,Asia,Kyrgyzstan,7435,24469,15952,-70%
OM,Asia,Oman,7355,19891,13623,-63%
LT,Europe,Lithuania,6935,17872,12403.5,-61%
TN,Africa,Tunisia,6557,11569,9063,-43%
MO,Asia,Macao,6348,3601,4974.5,76%
SK,Europe,Slovakia,6217,99318,52767.5,-94%
PS,Asia,Palestine,6022,29814,17918,-80%
BO,South America,Bolivia,5996,4019,5007.5,49%
NP,Asia,Nepal,5865,17281,11573,-66%
YE,Asia,Yemen,5672,19343,12507.5,-71%
TJ,Asia,Tajikistan,4955,23655,14305,-79%
GT,North America,Guatemala,4814,11885,8349.5,-59%
CD,Africa,Congo DR,4805,2558,3681.5,88%
HR,Europe,Croatia,4781,8347,6564,-43%
IS,Europe,Iceland,4713,4438,4575.5,6%
SV,North America,El Salvador,4701,16567,10634,-72%
EE,Europe,Estonia,4654,9225,6939.5,-50%
PA,North America,Panama,4582,8042,6312,-43%
KE,Africa,Kenya,4523,11087,7805,-59%
AM,Asia,Armenia,4483,2192,3337.5,105%
ZW,Africa,Zimbabwe,4309,3330,3819.5,29%
LU,Europe,Luxembourg,4199,5511,4855,-24%
PR,North America,Puerto Rico,4171,11100,7635.5,-62%
HN,North America,Honduras,3828,10719,7273.5,-64%
