Member State,Score,Legal Measures,Technical Measures,Organizational Measures,Capacity Development,Cooperative Measures,Rank
United Kingdom,93.1,20,19.1,20,18.9,15.1,1
United States of America,92.6,20,18.4,20,19.1,15.1,2
France,91.8,20,19.3,20,18.6,13.9,3
Lithuania,90.8,20,16.8,20,18.5,15.5,4
Estonia,90.5,20,20,20,19.48,20,5
Singapore,89.8,20,18.6,19.2,19.5,12.5,6
Spain,89.6,2.63,0,0,0,3.12,7
Malaysia,89.3,17.9,19.6,20,19.8,12,8
Canada,89.2,19.5,18.9,20,17.2,13.2,9
Norway,89.2,20,17.09,18.98,12.21,16.48,9
Australia,89,20,17.4,20,17.6,13.9,10
Luxembourg,88.6,9.04,4.93,0,9.34,11.85,11
Netherlands,88.5,15.61,5.94,9.58,9.6,4.26,12
Saudi Arabia,88.1,19.3,15.4,19.2,17.1,15.1,13
Mauritius,88,18.2,16.8,20,18.6,14.4,14
Japan,88,20,19.08,18.74,20,20,14
Republic of Korea,87.3,20,20,18.98,18.34,20,15
Oman,86.8,20,1237,18.98,18.57,20,16
Qatar,86,19.35,20,14.74,19.77,20,17
Georgia,85.7,17.75,17.13,14.67,15.89,15.63,18
Finland,85.6,20,20,14.33,17.74,20,19
Turkey,85.3,20,19.54,17.96,20,20,20
Denmark,85.2,19.3,18.94,18.98,19.48,15.89,21
Germany,84.9,20,19.54,18.98,19.48,19.41,22
Egypt,84.2,20,17.45,20,19.12,18.91,23
Croatia,84,20,19.54,14.8,19.89,19.29,24
Italy,83.7,19.68,17.56,20,19.48,19.41,25
Russian Federation,83.6,19.7,16.2,17.7,16.6,13.5,26
China,82.8,20,17.94,16.63,19.04,18.91,27
Austria,82.6,19.43,20,17.64,19.13,17.7,28
Poland,81.5,20,11.58,5.63,5.32,13.15,29
Belgium,81.4,20,20,16.25,20,20,30
Hungary,81.2,18.16,16.82,18.29,18.6,19.41,31
Sweden,81,11.13,7.04,1.69,7.08,4.26,32
United Arab Emirates,80.7,20,19.08,18.98,20,20,33
The Republic of North Macedonia,80,19.11,15.57,17.64,16.84,17.34,34
Thailand,79.6,18.54,18.31,16.6,17.72,19.41,35
New Zealand,78.9,20,19.84,18.98,18.82,19.41,36
Switzerland,78.8,20,18.86,18.46,19.57,17.7,37
Ireland,78.4,20,19.54,17.89,16.32,12.11,38
Israel,78.3,19.68,16.99,15.02,19.24,20,39
Kazakhstan,77.8,17.9,14.3,17.4,16,12.2,40
Indonesia,77.6,18.48,19.08,17.84,19.48,20,41
Portugal,75.8,20,13,11.85,12.74,19.41,42
Monaco,75.1,16.73,16.86,13.21,13.09,15.89,43
Kenya,74.8,19.5,11,14.7,14.7,14.9,44
Latvia,74.8,11.77,3.27,0,1.23,4.07,44
Slovakia,72.9,6.54,4.11,8.16,2.24,4.26,45
Bulgaria,72.1,17.34,7.84,13.72,14.92,13.57,46
India,71.9,20,19.08,18.41,20,20,47
Slovenia,70.1,20,20,18.64,17.5,16.22,48
Rwanda,69.7,15.7,11.7,17.8,13.7,10.8,49
Viet Nam,69.3,20,16.31,18.98,19.26,20,50
Uruguay,68.1,12,12.4,18.6,13.1,12,51
Uzbekistan,66.6,12.3,14.2,11.2,14.3,14.4,52
Moldova,66.2,0,0,0,0,0,53
Ukraine,66.1,17.46,11.6,13.06,10.94,12.87,54
Azerbaijan,65.3,20,19.19,13.14,16.99,20,55
Cyprus,65.2,20,18.73,18.41,13.73,17.94,56
South Africa,65.2,0,3.25,6.17,1.52,6.31,56
