ID Number,Date_Began,Year,General_Date (if date_began unknown),OrgName,Location (State),State,County,County,Primary CI Sector targeted,Secondary CI Sector,Strain,MITRE ATT&CK Software ID [if exists],"Duration (days, unless specified)",Duration Rank,Ransom Amount,Local Currency,RansomScale,PaidStatus,PayMethod (only if paid),AmtPaid,Source,Related incidents,Comments
1,,,Unknown,Liverpool John Moores,UK,,,,Education Facilities Subsector,,,,,,,,,,,,https://www.infosecurity-magazine.com/news/third-uk-universities-ransomware/,,
2,11/6/2013,2013,,"Swansea, Massachusetts Police Department",MA,Massachusetts,Bristol County,,Emergency Services,,CryptoLocker,,4,1 week or less,2 bitcoin,$750,$1000 or less,Yes,bitcoin,$750,https://www.bostonglobe.com/business/2015/04/06/tewksbury-police-pay-bitcoin-ransom-hackers/PkcE1GBTOfU52p31F9FM5L/story.html,,
3,12/26/2013,2013,,Greenland,NH,New Hampshire,Rockingham County,"Rockingham County, NH",Government Facilities,,CryptoLocker,,8 years of data never recovered,,$300 ,$300 ,$1000 or less,No,N/A,N/A,https://www.aberdeen.com/techpro-essentials/security-breaches-hit-close-home-ransomware/,,
4,1/1/2014,2014,"Unspecified, January 2014","Village of Ilion, N.Y.",NY,New York,Herkimer County,"Herkimer County, NY",Government Facilities,,,,1,1 day or less,$300,$300,$1000 or less,Yes,prepaid credit card into an online payment portal,$300,https://www.washingtonpost.com/world/national-security/these-hackers-can-hold-a-town-hostage-and-they-want-ransom--paid-in-bitcoin/2016/03/18/1a2e2494-eba9-11e5-bc08-3e03a5b41910_story.html?utm_term=.0e0e7def9715,,
5,4/1/2014,2014,"Unspecified, April 2014",Detroit City Government,MI,Michigan,Wayne County,"Wayne County, MI",Government Facilities,,,,N/A,,"2,000 bitcoin","$803,500",$1000000 or less,No,N/A,N/A,http://www.naco.org/articles/sheriff%E2%80%99s-office-computers-held-hostage-%E2%80%98ransomware%E2%80%99,,
6,5/1/2014,2014,"Unspecified, May 2014","Village of Ilion, N.Y.",NY,New York,Herkimer County,"Herkimer County, NY",Government Facilities,,,,1,1 day or less,$500,$500,$1000 or less,Yes,,$500,https://www.washingtonpost.com/world/national-security/these-hackers-can-hold-a-town-hostage-and-they-want-ransom--paid-in-bitcoin/2016/03/18/1a2e2494-eba9-11e5-bc08-3e03a5b41910_story.html?utm_term=.0e0e7def9715,,
7,6/5/2014,2014,,"Durham, N.H. police department",NH,New Hampshire,Strafford County,,Emergency Services,,CryptoWall,,3,1 week or less,,,,No,N/A,N/A,https://www.nbcnews.com/tech/security/virus-wipes-out-new-hampshire-police-departments-computers-n126466,,
8,6/18/2014,2014,,Collinsville Police Department,AL,Alabama,DeKalb County,,Emergency Services,,,,Never Recovered,Never Recovered,$500,$500,$1000 or less,No,N/A,N/A,https://www.bostonglobe.com/business/2015/04/06/tewksbury-police-pay-bitcoin-ransom-hackers/PkcE1GBTOfU52p31F9FM5L/story.html,,
9,10/14/2014,2014,,Dickson County Sheriff’s Office,TN,Tennessee,Dickson County,"Dickson County, TN",Government Facilities,,CryptoWall,,7,1 week or less,$572 ,$572,$1000 or less,Yes,Western Union,$572,http://www.tennessean.com/story/news/local/dickson/2014/11/11/dickson-sheriffs-office-pays-ransom-cyber-criminals/18868325/,,
10,1/1/2015,2015,"Unspecified, January 2015",Midlothian Police Department,IL,,,,Emergency Services,,Cryptoware,,,,,$500,$1000 or less,Yes,bitcoin,$606,http://www.chicagotribune.com/news/local/breaking/ct-midlothian-hacker-ransom-met-20150220-story.html,,
