Member State,Score,Legal Measures,Technical Measures,Organizational Measures,Capacity Development,Cooperative Measures,Global Rank
United States of America,100,20,20,20,20,20,1
Saudi Arabia,99.54,20,19.54,20,20,20,2
United Kingdom,99.54,20,19.54,20,20,20,2
Estonia,99.48,20,20,20,19.48,20,3
Korea (Rep. of),98.52,20,19.54,18.98,20,20,4
Singapore,98.52,20,19.54,18.98,20,20,4
Spain,98.52,20,19.54,18.98,20,20,4
Malaysia,98.06,20,19.08,18.98,20,20,5
Russian Federation,98.06,20,19.08,18.98,20,20,5
United Arab Emirates,98.06,20,19.08,18.98,20,20,5
Lithuania,97.93,20,19.54,18.98,20,19.41,6
Japan,97.82,20,19.08,18.74,20,20,7
Canada,97.67,20,18.27,20,20,19.41,8
France,97.6,20,19.21,18.98,20,19.41,9
India,97.5,20,19.08,18.41,20,20,10
Turkey,97.49,20,19.54,17.96,20,20,11
Australia,97.47,20,19.08,18.98,20,19.41,12
Germany,97.41,20,19.54,18.98,19.48,19.41,13
Luxembourg,97.41,20,19.54,18.98,19.48,19.41,13
Portugal,97.32,20,20,18.98,18.34,20,14
Latvia,97.28,20,19.21,18.98,19.09,20,15
Netherlands,97.05,20,19.84,18.98,18.82,19.41,16
Mauritius,96.89,19.27,20,18.38,19.54,19.7,17
Norway,96.89,20,18.86,18.98,19.04,20,17
Brazil,96.6,20,18.73,18.98,19.48,19.41,18
Belgium,96.25,20,20,16.25,20,20,19
Italy,96.13,19.68,17.56,20,19.48,19.41,20
Oman,96.04,20,16.64,20,20,19.41,21
Finland,95.78,20,20,14.33,17.74,20,22
Egypt,95.48,20,17.45,20,19.12,18.91,23
Indonesia,94.88,18.48,19.08,17.84,19.48,20,24
Viet Nam,94.59,20,16.31,18.98,19.26,20,25
Sweden,94.55,20,18.86,18.46,19.57,17.7,26
Qatar,94.5,20,16.64,18.46,20,19.41,27
Greece,93.98,19.43,15.83,18.98,19.74,20,28
Austria,93.89,19.43,20,17.64,19.13,17.7,29
Poland,93.86,19.35,20,14.74,19.77,20,30
Kazakhstan,93.15,20,19.54,18.46,15.15,20,31
Denmark,92.6,19.3,18.94,18.98,19.48,15.89,32
China,92.53,20,17.94,16.63,19.04,18.91,33
Croatia,92.53,20,19.54,14.8,19.89,19.29,33
Slovakia,92.36,20,20,18.64,17.5,16.22,34
Hungary,91.28,18.16,16.82,18.29,18.6,19.41,35
Israel,90.93,19.68,16.99,15.02,19.24,20,36
Tanzania,90.58,18.54,18.31,16.6,17.72,19.41,37
North Macedonia,89.92,20,1237,18.98,18.57,20,38
Serbia,89.8,19.1,18.99,18.67,14.66,18.38,39
Azerbaijan,89.31,20,19.19,13.14,16.99,20,40
Cyprus,88.82,20,18.73,18.41,13.73,17.94,41
Switzerland,86.97,13.62,18.85,17.4,17.69,19.41,42
Ghana,86.69,19.35,18.48,17.78,15.44,15.63,43
Thailand,86.5,19.11,15.57,17.64,16.84,17.34,44
Tunisia,86.23,20,19.54,12.21,16.96,17.52,45
Ireland,85.86,20,19.54,17.89,16.32,12.11,46
Nigeria,84.76,20,17.09,18.98,12.21,16.48,47
New Zealand,84.04,19.24,14.19,17.27,17.71,15.63,48
Malta,83.65,20,15.59,13.41,18.76,15.89,49
Morocco,82.41,18.4,17.94,12.37,15.24,18.46,50
Kenya,81.7,20,18.27,12.75,14.79,15.89,51
Mexico,81.68,15.61,17.9,14.7,16.13,17.34,52
Bangladesh,81.27,14.86,16.77,16.39,17.03,16.22,53
Iran (Islamic Republic of),81.07,16.48,14.63,16.82,17.8,15.33,54
Georgia,81.06,17.75,17.13,14.67,15.89,15.63,55
Benin,80.06,17.42,13.94,19.48,13.6,15.63,56
Rwanda,79.95,20,13,16.83,16.3,13.82,57
Iceland,79.81,17.78,16.17,17.62,11.99,16.25,58
South Africa,78.46,16.82,15.85,12.5,15.37,17.93,59
Bahrain,77.86,20,12.12,15.11,16.77,13.86,60
Philippines,77,20,13,11.85,12.74,19.41,61
Romania,76.29,18.6,18.4,6.42,12.88,20,62
Moldova,75.78,16.73,16.86,13.21,13.09,15.89,63
Uruguay,75.15,13.9,18.27,12.13,19.04,11.81,64
Kuwait,75.07,17.74,14.25,11.13,16.05,15.9,65
Dominican Rep.,75.05,16.38,18.42,18.52,9.94,11.81,66
Slovenia,74.93,20,11.38,13.71,17.72,12.11,67
Czech Republic,74.37,18.89,19,14.2,9.14,13.14,68
Monaco,72.57,16,12.77,12.7,13.75,17.34,69
Uzbekistan,71.11,19.27,12.56,10.05,15.68,13.56,70
Jordan,70.96,18.53,10.74,15.7,11.47,14.51,71
Uganda,69.98,15.64,14.19,13.65,10.87,15.63,72
Zambia,68.88,20,13.82,15.86,8.07,11.12,73
Chile,68.83,17.2,9.39,15.84,11.07,15.33,74
Côte d'Ivoire,67.82,17.95,14.65,12.14,11.53,11.55,75
Costa Rica,67.45,17.62,9.14,12.66,12.11,15.93,76
Bulgaria,67.38,17.34,7.84,13.72,14.92,13.57,77
Ukraine,65.93,17.46,11.6,13.06,10.94,12.87,78
Pakistan,64.88,15.97,12.26,11.01,17.25,8.38,79
Albania,64.32,18.13,13.12,13.18,12.12,7.78,80
Colombia,63.72,9.14,17.58,6.67,14.42,15.93,81
Cuba,58.76,14.85,10.87,13.91,10.52,8.61,82
Sri Lanka,58.65,13.05,14.15,15.82,6.58,10.04,83
Paraguay,57.09,14.15,10.94,13.06,6.79,12.14,84
Brunei Darussalam,56.07,14.06,14.19,10.84,12.85,4.12,85
Peru,55.67,20,11.58,5.63,5.32,13.15,86
Montenegro,53.23,14.61,7.48,12,3.18,15.97,87
Botswana,53.06,16.44,4.95,14.16,13.23,4.26,88
Belarus,50.57,10.36,9.5,8.31,7.88,14.51,89
Armenia,50.47,12.87,13.86,4.87,7.85,11.01,90
Argentina,50.12,12.15,13.75,8.29,4.38,11.35,91
Kyrgyzstan,49.64,13.43,7.85,14.37,1.87,12.11,92
Cameroon,45.63,9.84,8.54,5.67,9.95,11.63,93
Nepal (Republic of),44.99,15.61,5.94,9.58,9.6,4.26,94
Chad,40.44,13.34,0.73,6.5,7.67,12.11,95
Burkina Faso,39.98,9.47,10.25,8.75,3.47,8.04,96
Malawi,36.83,10.98,5.92,8.4,6,5.54,97
Zimbabwe,36.49,16.73,0,3.84,5.52,10.4,98
Myanmar,36.41,9.39,3.64,4.71,8.92,9.75,99
Senegal,35.85,7.82,10.5,6.66,4.58,6.3,100
Liechtenstein,35.15,9.04,4.93,0,9.34,11.85,101
Sudan,35.03,12.43,13.81,5.41,3.38,0,102
Panama,34.11,10.41,10.94,2.37,6.12,4.26,103
Algeria,33.95,12.46,2.73,1.44,10.07,7.25,104
Togo,33.19,19.18,4.9,3.61,0,5.49,105
Jamaica,32.53,11.54,2.18,7.87,6.68,4.26,106
Gambia,32.12,13.28,1.46,8.78,4.34,4.26,107
Suriname,31.2,11.13,7.04,1.69,7.08,4.26,108
Lebanon,30.44,10.24,3.27,5.69,8.26,2.99,109
Bosnia and Herzegovina,29.44,10.41,6.56,1.02,3.12,8.33,110
Samoa,29.33,11.15,0.73,13.37,0,4.07,111
Fiji,29.08,5.99,4.11,6.59,8.31,4.07,112
Libya,28.78,3.73,8.54,3.13,5.34,8.04,113
Guyana,28.11,13.12,2.5,6.47,2.24,3.78,114
Ethiopia,27.74,11.56,4.46,8.03,3.69,0,115
Venezuela,27.06,8.8,7.67,6.17,4.41,0,116
Andorra,26.38,8.37,4.11,0,4.41,9.49,117
Papua New Guinea,26.33,9.26,2.18,0,7.3,7.59,118
Ecuador,26.3,10.22,9.55,0,6.53,0,119
Mongolia,26.2,9,6.02,3.13,1.23,6.82,120
Sierra Leone,25.31,6.54,4.11,8.16,2.24,4.26,121
State of Palestine,25.18,9.02,11.36,2.34,2.46,0,122
Mozambique,24.18,7.46,8.19,4.62,3.92,0,123
Madagascar,23.33,8.96,4.11,3,3.47,3.78,124
Trinidad and Tobago,22.18,7.94,7.38,3.18,3.69,0,125
Syrian Arab Republic,22.14,9.8,7.85,4.49,0,0,126
Nauru,21.42,9.91,0,0,3.18,8.33,127
Tonga,20.95,2.63,3.27,1.69,1.52,11.85,128
Iraq,20.71,0,6.56,7.75,2.14,4.26,129
Guinea,20.53,12.54,0,1.69,0,6.3,130
Lao P.D.R.,20.34,11.77,3.27,0,1.23,4.07,131
Cambodia,19.12,7.38,2.5,1.69,3.29,4.26,132
Mauritania,18.94,12.55,0,6.39,0,0,133
Bhutan,18.34,8.3,4.12,3.47,2.45,0,134
Eswatini,18.23,4.96,0,3.49,3.47,6.31,135
Cabo Verde,17.74,3.77,0,5,1.96,7,136
Somalia,17.25,0,3.25,6.17,1.52,6.31,137
Tajikistan,17.1,10.22,0,5.63,1.25,0,138
Barbados,16.89,12.63,0,0,0,4.26,139
Bolivia (Plurinational State of),16.14,5.13,2.18,0,4.58,4.26,140
Sao Tome and Principe,15.64,9.94,0,1.44,0,4.26,141
Antigua and Barbuda,15.62,11.36,0,0,0,4.26,142
Congo (Rep. of the),14.72,6.66,0,0,3.8,4.26,143
Turkmenistan,14.48,10.22,0,0,0,4.26,144
Kiribati,13.84,6.64,0,3.13,0,4.07,145
San Marino,13.83,3.77,0,1.69,0,8.37,146
Bahamas,13.37,12.85,0,0,0.52,0,147
El Salvador,13.3,8.32,0,0,0.72,4.26,148
Seychelles,13.23,7.73,0,1.44,1.23,2.83,149
Guatemala,13.13,4.76,0,6.01,2.36,0,150
Angola,12.99,6.7,0,0,0,6.3,151
Vanuatu,12.88,3.69,2.18,2.95,0,4.07,152
Saint Kitts and Nevis,12.44,5,0,0,3.18,4.26,153
Saint Vincent and the Grenadines,12.18,10.95,0,0,1.23,0,154
Namibia,11.47,2.84,0,0,2.34,0,155
Niger,11.38,5.87,0,0,1.23,4.26,156
Gabon,11.36,4.24,0.73,1.69,0.46,4.26,157
Saint Lucia,10.96,6.7,0,0,0,4.26,158
Belize,10.29,5.77,0,3.01,1.52,0,159
Mali,10.14,5.89,0,0,0,4.26,160
Guinea-Bissau,9.85,0,0,0,1.52,8.33,161
Liberia,9.72,2.31,4.11,0,1.26,2.04,162
Grenada,9.41,9.41,0,0,0,0,163
Lesotho,9.08,7.82,0,0,1.26,0,164
Nicaragua,9,4.74,0,0,0,4.26,165
Solomon Islands,7.08,3,0,0,0,4.07,166
Haiti,6.4,0.85,0,1.46,4.09,0,167
Tuvalu,5.78,0,0,0,1.71,4.07,168
South Sudan,5.75,2.63,0,0,0,3.12,169
Dem. Rep. of the Congo,5.3,5.3,0,0,0,0,170
Afghanistan,5.2,0.4,1.46,3.35,0,0,171
Marshall Islands,4.9,0.83,0,0,0,4.07,172
Timor-Leste,4.26,0,0,0,0,4.26,173
Dominica,4.2,0.85,0,3.35,0,0,174
Comoros,3.72,0,0,1.69,0,2.04,175
Central African Rep.,3.24,3.24,0,0,0,0,176
Maldives,2.95,0,0,2.95,0,0,177
Honduras,2.2,2.2,0,0,0,0,178
Burundi,1.73,1.73,0,0,0,0,179
Djibouti,1.73,1.73,0,0,0,0,179
Eritrea,1.73,1.73,0,0,0,0,179
Equatorial Guinea,1.46,1.46,0,0,0,0,180
Dem. People's Rep. of Korea,1.35,1.35,0,0,0,0,181
Micronesia,0,0,0,0,0,0,182
Vatican,0,0,0,0,0,0,182
Yemen,0,0,0,0,0,0,182
