case_id,sanctioned_state,sanctioning_state,begin,end,trade,descr_trade,arms,military,financial,travel,other,target_mult,sender_mult,objective,success
364,Myanmar,Germany,1989,2013,0,,0,0,1,0,0,0,0,human_rights,success_part
727,United States,Japan,2003,2013,1,imp_part,0,0,0,0,0,0,0,other,success_total
771,Georgia,Russia,2006,2013,1,imp_part,0,0,0,0,0,0,0,"other,policy_change","success_total,success_total"
809,Guinea,EU,2008,2013,0,,0,0,1,0,0,0,1,human_rights,success_total
862,Malagasy Republic,African Union,2010,2013,0,,0,0,1,1,0,0,1,democracy,success_total
864,Myanmar,"EU, Croatia, Macedonia, Montenegro, Iceland, Albania, Bosnia and Herzegovina, Liechtenstein, Norway, Moldova, Armenia",2010,2013,1,"exp_part, imp_part",1,1,1,1,0,0,1,human_rights,success_part
910,Syria,"EU, Croatia, Macedonia, Montenegro, Iceland, Albania, Serbia, Liechtenstein, Norway, Moldova",2011,2013,1,"exp_part, imp_part",1,1,1,1,0,0,1,"human_rights,end_war","failed,failed"
935,Mali,EU,2012,2013,0,,0,0,1,0,0,0,1,democracy,success_part
937,Mali,United States,2012,2013,0,,0,1,1,1,0,0,0,democracy,success_part
941,Pakistan,United States,2012,2013,0,,0,1,1,0,0,0,0,"democracy,human_rights","success_total,success_total"
943,Paraguay,MERCOSUR,2012,2013,0,,0,0,0,0,1,0,1,democracy,success_total
944,Paraguay,UNASUR,2012,2013,0,,0,0,0,0,1,0,1,"democracy,human_rights","success_total,success_total"
945,Rwanda,EU,2012,2013,0,,0,0,1,0,0,0,1,"policy_change,democracy,human_rights","success_total,success_total,success_total"
946,Rwanda,"Germany, Netherlands, Sweden",2012,2013,0,,0,0,1,0,0,0,1,"policy_change,democracy,human_rights","success_total,success_total,success_total"
948,Rwanda,United States,2012,2013,0,,0,1,0,0,0,0,0,"policy_change,democracy,human_rights","success_total,success_total,success_total"
971,Mali,United States,2013,2013,1,"exp_part, imp_part",0,0,1,0,0,0,0,terrorism,success_total
975,Philippines,Taiwan,2013,2013,0,,0,0,0,1,0,0,0,other,success_total
607,Ireland,United States,1998,2014,1,imp_part,0,0,0,0,0,0,0,other,success_total
654,Fiji,United States,2000,2014,0,,1,1,1,1,1,0,0,democracy,success_total
659,Yugoslavia,EU,2000,2014,0,,0,0,1,1,0,1,1,democracy,success_total
729,Yugoslavia,EU,2003,2014,0,,0,0,1,0,0,1,1,democracy,success_total
745,Cote d'Ivoire,UN,2005,2014,1,"exp_part, imp_part",0,0,0,0,0,0,1,"end_war,human_rights","success_part,success_part"
767,Fiji,Australia,2006,2014,0,,0,1,0,1,0,0,0,democracy,success_total
768,Fiji,Commonwealth,2006,2014,0,,0,0,0,0,1,0,1,democracy,success_total
769,Fiji,New Zealand,2006,2014,0,,0,1,1,1,0,0,0,democracy,success_part
770,Fiji,United States,2006,2014,0,,0,1,1,0,0,0,0,democracy,success_total
783,Malagasy Republic,United States,2006,2014,0,,0,0,1,0,0,0,0,"democracy,human_rights,end_war","success_total,success_total,success_total"
824,Fiji,Pacific Islands Forum,2009,2014,0,,0,0,0,0,1,0,1,democracy,success_total
828,Guinea,"EU, Turkey, Croatia, Macedonia, Montenegro, Albania, Bosnia and Herzegovina, Serbia, Liechtenstein, Norway, Ukraine, Moldova, Armenia, Georgia, Iceland",2009,2014,1,exp_part,1,1,1,1,0,0,1,human_rights,success_total
837,Malagasy Republic,African Union,2009,2014,0,,0,0,0,0,1,0,1,democracy,success_total
838,Malagasy Republic,SADC,2009,2014,0,,0,0,0,0,1,0,1,democracy,success_total
854,Guinea,Switzerland,2010,2014,1,exp_part,1,1,1,1,0,0,0,human_rights,success_part
863,Malagasy Republic,EU,2010,2014,0,,0,0,1,0,0,0,1,democracy,success_total
878,Colombia,United States,2011,2014,1,"exp_part, imp_part",0,0,1,0,0,0,0,other,success_total
886,Fiji,Australia,2011,2014,0,,1,0,0,0,0,0,0,democracy,success_total
920,Central African Republic,United States,2012,2014,0,,0,0,0,0,1,0,0,democracy,success_total
922,Guinea-Bissau,African Union,2012,2014,0,,0,0,0,0,1,0,1,democracy,success_total
924,Guinea-Bissau,EU,2012,2014,0,,0,0,1,1,0,0,1,democracy,success_total
927,Guinea-Bissau,United States,2012,2014,0,,0,0,1,0,0,0,0,democracy,success_total
931,Kenya,UN,2012,2014,0,,1,1,1,1,0,0,1,terrorism,failed
961,Ecuador,United States,2013,2014,0,,0,0,1,0,0,0,0,destab_regime,failed
962,Egypt,African Union,2013,2014,0,,0,0,0,0,1,0,1,democracy,success_total
